Index,SiteID,Year,trap.sets,total.pama,CPUE
274,367,2024,36,238,661.1111111
273,367,2023,36,236,655.5555556
271,367,2021,36,218,605.5555556
272,367,2022,36,83,230.5555556
269,367,2019,36,53,147.2222222
270,367,2020,36,32,88.88888889
268,367,2018,36,29,80.55555556
265,362,2023,36,28,77.77777778
266,362,2024,36,21,58.33333333
474,599,2019,36,20,55.55555556
263,362,2021,36,15,41.66666667
261,362,2019,36,14,38.88888889
264,362,2022,36,12,33.33333333
342,386,2023,36,11,30.55555556
262,362,2020,35,7,20
51,133,2024,36,7,19.44444444
259,362,2017,36,7,19.44444444
258,362,2016,24,4,16.66666667
362,516,2021,36,6,16.66666667
343,386,2024,36,5,13.88888889
341,386,2022,36,4,11.11111111
49,133,2022,36,3,8.333333333
389,529,2023,36,3,8.333333333
476,599,2021,36,3,8.333333333
267,367,2017,30,2,6.666666667
382,528,2022,35,2,5.714285714
48,133,2021,36,2,5.555555556
50,133,2023,36,2,5.555555556
340,386,2021,36,2,5.555555556
364,516,2023,36,2,5.555555556
390,529,2024,36,2,5.555555556
473,599,2018,36,2,5.555555556
477,599,2022,36,2,5.555555556
478,599,2023,35,1,2.857142857
260,362,2018,36,1,2.777777778
286,378,2022,36,1,2.777777778
384,528,2024,36,1,2.777777778
388,529,2022,36,1,2.777777778
479,599,2024,36,1,2.777777778
1,3,2017,29,0,0
2,3,2018,36,0,0
3,3,2019,36,0,0
4,3,2020,24,0,0
5,3,2021,36,0,0
6,3,2022,36,0,0
7,3,2023,36,0,0
8,3,2024,34,0,0
9,74,2016,36,0,0
10,74,2017,30,0,0
11,74,2018,36,0,0
12,74,2019,36,0,0
13,74,2020,30,0,0
14,74,2021,36,0,0
15,74,2022,36,0,0
16,74,2023,36,0,0
17,74,2024,36,0,0
18,97,2017,36,0,0
19,97,2018,36,0,0
20,97,2019,36,0,0
21,97,2020,36,0,0
22,97,2021,36,0,0
23,97,2022,36,0,0
24,97,2023,36,0,0
25,97,2024,36,0,0
26,108,2017,30,0,0
27,108,2018,36,0,0
28,108,2019,35,0,0
29,108,2020,36,0,0
30,108,2021,36,0,0
31,108,2022,36,0,0
32,108,2023,38,0,0
33,108,2024,36,0,0
34,128,2016,36,0,0
35,128,2017,36,0,0
36,128,2018,36,0,0
37,128,2019,36,0,0
38,128,2020,36,0,0
39,128,2021,36,0,0
40,128,2022,36,0,0
41,128,2023,36,0,0
42,128,2024,36,0,0
43,133,2016,35,0,0
44,133,2017,35,0,0
45,133,2018,36,0,0
46,133,2019,36,0,0
47,133,2020,36,0,0
52,138,2016,36,0,0
53,138,2017,18,0,0
54,138,2018,29,0,0
55,138,2019,30,0,0
56,138,2020,24,0,0
57,138,2021,23,0,0
58,138,2022,35,0,0
59,138,2023,36,0,0
60,138,2024,35,0,0
61,153,2017,36,0,0
62,153,2018,36,0,0
63,153,2019,36,0,0
64,153,2020,36,0,0
65,153,2021,35,0,0
66,153,2022,36,0,0
67,153,2023,36,0,0
68,153,2024,36,0,0
69,161,2016,33,0,0
70,161,2017,35,0,0
71,161,2018,36,0,0
72,161,2019,35,0,0
73,161,2020,35,0,0
74,161,2021,30,0,0
75,161,2022,29,0,0
76,161,2023,36,0,0
77,161,2024,36,0,0
78,172,2019,36,0,0
79,172,2020,30,0,0
80,172,2021,36,0,0
81,172,2022,35,0,0
82,172,2023,36,0,0
83,172,2024,30,0,0
84,173,2016,35,0,0
85,173,2017,36,0,0
86,173,2018,30,0,0
87,173,2019,36,0,0
88,173,2020,36,0,0
89,173,2021,30,0,0
90,173,2022,36,0,0
91,173,2023,36,0,0
92,173,2024,34,0,0
93,177,2016,30,0,0
94,177,2017,30,0,0
95,177,2018,36,0,0
96,177,2019,30,0,0
97,177,2020,30,0,0
98,177,2021,30,0,0
99,177,2022,30,0,0
100,177,2023,30,0,0
101,177,2024,30,0,0
102,198,2016,35,0,0
103,198,2017,28,0,0
104,198,2018,36,0,0
105,198,2019,36,0,0
106,198,2020,36,0,0
107,198,2021,36,0,0
108,198,2022,35,0,0
109,198,2023,30,0,0
110,198,2024,36,0,0
111,199,2018,36,0,0
112,199,2019,36,0,0
113,199,2020,36,0,0
114,199,2021,36,0,0
115,199,2022,35,0,0
116,199,2023,36,0,0
117,199,2024,36,0,0
118,201,2017,35,0,0
119,201,2018,36,0,0
120,201,2019,36,0,0
121,201,2020,36,0,0
122,201,2021,36,0,0
123,201,2022,36,0,0
124,201,2023,36,0,0
125,201,2024,29,0,0
126,204,2015,12,0,0
127,204,2016,36,0,0
128,204,2017,36,0,0
129,204,2018,36,0,0
130,204,2019,36,0,0
131,204,2020,36,0,0
132,204,2021,33,0,0
133,204,2022,35,0,0
134,204,2023,36,0,0
135,204,2024,36,0,0
136,207,2017,24,0,0
137,207,2018,36,0,0
138,207,2019,36,0,0
139,207,2020,35,0,0
140,207,2021,36,0,0
141,207,2022,36,0,0
142,207,2023,36,0,0
143,207,2024,36,0,0
144,214,2016,16,0,0
145,214,2017,36,0,0
146,214,2018,30,0,0
147,214,2019,36,0,0
148,214,2020,36,0,0
149,214,2021,36,0,0
150,214,2022,36,0,0
151,214,2023,35,0,0
152,214,2024,34,0,0
153,219,2017,18,0,0
154,219,2018,36,0,0
155,219,2019,36,0,0
156,219,2020,30,0,0
157,219,2021,36,0,0
158,219,2022,36,0,0
159,219,2023,36,0,0
160,219,2024,36,0,0
161,250,2015,12,0,0
162,250,2016,36,0,0
163,250,2017,30,0,0
164,250,2018,36,0,0
165,250,2019,36,0,0
166,250,2020,36,0,0
167,250,2021,36,0,0
168,250,2022,36,0,0
169,250,2023,36,0,0
170,250,2024,36,0,0
171,277,2017,17,0,0
172,277,2018,36,0,0
173,277,2019,35,0,0
174,277,2020,36,0,0
175,277,2021,36,0,0
176,277,2022,36,0,0
177,277,2023,35,0,0
178,277,2024,36,0,0
179,299,2017,5,0,0
180,306,2015,12,0,0
181,306,2016,36,0,0
182,306,2017,36,0,0
183,306,2018,36,0,0
184,306,2019,36,0,0
