SiteID,Month,SetTime,EndTime,Hours,Weather,TrapType,TrapNumber,IsEmpty,IsCompromised,Species,TotalNumber,NumMales,NumFemales,Male1,Male2,Male3,Male4,Male5,Male6,Male7,Male8,Male9,Male10,Female1,Female2,Female3,Female4,Female5,Female6,Female7,Female8,Female9,Female10,Mortalities,Gravid,WSGNotes,MonitorNotes,EGCID
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Fukui,1,N,N,MEGR,1,0,1,,,,,,,,,,,63,,,,,,,,,,0,0,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,1,N,N,GAAC,23,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,1,N,N,HEOR,3,3,0,22,20,21,,,,,,,,,,,,,,,,,,0,0,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,1,N,N,LEAR,4,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Fukui,2,N,N,HEOR,1,1,0,21,,,,,,,,,,,,,,,,,,,,0,0,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,BROK,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
311,June,6/22/20 9:10,6/23/20 8:55,23.75,Clear,Minnow,1,N,N,HEOR,128,121,7,15,16,20,20,16,15,20,17,18,16,18,16,17,11,16,17,17,,,,0,1,0,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,HEOR,6,5,1,21,20,22,16,6,,,,,,9,,,,,,,,,,0,0,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,2,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Fukui,3,N,N,HEOR,2,0,2,,,,,,,,,,,18,19,,,,,,,,,0,0,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,3,N,N,GAAC,67,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,3,N,N,HEOR,5,3,2,19,21,14,,,,,,,,12,17,,,,,,,,,0,0,,,
3,May,5/11/17 13:00,5/12/17 10:52,21.87,LightRain,Minnow,3,N,N,LEAR,5,,,,,,,,,,,,,,,,,,,,,,,0,,,,
