Effort_Type,Date_Deployed,Date_Retrieved,StartTime_Deployed,EndTime_Deployed,StartTime_Retrieved,EndTime_Retrieved,Weather,Personnel,Management_Area,Waterbody,Site_ID,Site_Name,Index,DistanceMouth,Site_Info,County,Trap_Effort,Trap_Type,Trap_Number,Trap_Info,Bait,Latitude,Longitude,Date_Checked,Year,CAMA_Total,CAMA_Male,CAMA_Female,HEOR,LEAR,HENU,GAAC,CYAG,MEMA,PAHI,PAGR,COAS,OLMA,FLAT,PLST,BAAT,NASS,BROK,SAND,BUBB,ILOB,JELL,TECH,ELFS,MEGR,CAPR,PAMA Present,PAMA,Other_Bycatch,Mortalities,Notes,Data_Source,TrackedChanges
Grid Survey,8/23/21,8/25/21,12:30,14:00,11:10,14:00,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,Northeast,,,"Grid Survey; High Intertidal Zone, Y5",Whatcom,530,Minnow,1087-Y,-,Mackerel,48.981113,-122.742605,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval end time - CB 1/3/2022
Grid Survey,8/23/21,8/25/21,15:40,16:00,14:00,15:00,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,South,,,"Grid Survey; High Intertidal Zone, Y18",Whatcom,530,Minnow,70-P,-,Mackerel,48.962629,-122.740093,8/25/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval times - CB 1/3/2022
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,1191-Y,-,Mackerel,48.9630544,-122.7360596,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Minnow,191-P,-,Mackerel,48.9629847,-122.7358685,8/24/21,2021,0,0,0,X,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,1139-B,-,Mackerel,48.9628596,-122.7353951,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,195-Y,-,Mackerel,48.9627144,-122.7345321,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,14:45,15:50,12:00,13:30,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,Dakota Creek,,,Grid Survey; G3,Whatcom,27,Minnow,139-Y,-,Mackerel,48.973833,-122.735009,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval end time - CB 1/3/2022
Grid Survey,8/23/21,8/26/21,14:45,15:50,12:00,13:30,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,Dakota Creek,,,Grid Survey; G3,Whatcom,27,Minnow,1404-R,-,Mackerel,48.973878,-122.73555,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval end time - CB 1/3/2022
Grid Survey,8/23/21,8/26/21,14:45,15:50,12:00,13:30,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,Dakota Creek,,,Grid Survey; G3,Whatcom,27,Minnow,1178-B,-,Mackerel,48.973896,-122.736132,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval end time - CB 1/3/2022
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,1191-Y,-,Mackerel,48.9630544,-122.7360596,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Minnow,191-P,-,Mackerel,48.9629847,-122.7358685,8/25/21,2021,0,0,0,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,1139-B,-,Mackerel,48.9628596,-122.7353951,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Minnow,1318-G,-,Mackerel,48.9628112,-122.7350806,8/25/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,14:45,15:50,12:00,13:30,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,Dakota Creek,,,Grid Survey; G3,Whatcom,27,Minnow,139-Y,-,Mackerel,48.973833,-122.735009,8/26/21,2021,0,0,0,X,X,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval end time - CB 1/3/2022
Grid Survey,8/23/21,8/26/21,14:45,15:50,12:00,13:30,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,Dakota Creek,,,Grid Survey; G3,Whatcom,27,Minnow,1404-R,-,Mackerel,48.973878,-122.73555,8/26/21,2021,0,0,0,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,Estimated retrieval end time - CB 1/3/2022
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,1191-Y,-,Mackerel,48.9630544,-122.7360596,8/26/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Minnow,1318-G,-,Mackerel,48.9628112,-122.7350806,8/26/21,2021,0,0,0,X,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Fukui,195-Y,-,Mackerel,48.9627144,-122.7345321,8/26/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/26/21,13:11,14:30,N/A,N/A,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; G4,Whatcom,27,Minnow,163-P,-,Mackerel,48.9626741,-122.7343232,8/26/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,1596-P,-,Mackerel,48.960946,-122.734046,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,377-R,-,Mackerel,48.961227,-122.734251,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Fukui,1356-G,-,Mackerel,48.961314,-122.734282,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,188-P,-,Mackerel,48.961435,-122.734363,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Fukui,567-R,-,Mackerel,48.961583,-122.73438,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,151-Y,-,Mackerel,48.961696,-122.734265,8/24/21,2021,0,0,0,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,89-P,-,Mackerel,48.961808,-122.733894,8/24/21,2021,0,0,0,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Minnow,129-P,-,Mackerel,48.958929,-122.734183,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Fukui,1316-G,-,Mackerel,48.958737,-122.734106,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Minnow,691-P,-,Mackerel,48.958497,-122.734058,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Fukui,1311-G,-,Mackerel,48.958362,-122.734023,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Minnow,133-P,-,Mackerel,48.95825,-122.733939,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Minnow,157-Y,-,Mackerel,48.959144,-122.734224,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Fukui,1314-G,-,Mackerel,48.959313,-122.734243,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Minnow,1484-R,-,Mackerel,48.959367,-122.734119,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Fukui,1309-G,-,Mackerel,48.959456,-122.734094,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Minnow,138-P,-,Mackerel,48.955379,-122.728782,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Minnow,1393-G,-,Mackerel,48.955548,-122.729207,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Minnow,1398-G,-,Mackerel,48.956004,-122.729792,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Fukui,1362-G,-,Mackerel,48.956134,-122.729897,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Minnow,1390-G,-,Mackerel,48.956285,-122.730041,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Fukui,1357-G,-,Mackerel,48.956434,-122.730143,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C3,Whatcom,120,Minnow,1070-B,-,Mackerel,48.95578,-122.729475,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C4,Whatcom,120,Minnow,1190-B,-,Mackerel,48.953478,-122.721914,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C4,Whatcom,120,Minnow,1149-B,-,Mackerel,48.953482,-122.722469,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C4,Whatcom,120,Minnow,389-R,-,Mackerel,48.953522,-122.722907,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:08,15:26,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C4,Whatcom,120,Minnow,378-R,-,Mackerel,48.953798,-122.723773,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C5,Whatcom,120,Minnow,1184-B,-,Mackerel,48.951451,-122.716074,8/24/21,2021,0,0,0,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
